Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
9,1,,14.73,23.25,23.25,54.4,54.4,22.86,22.86,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:58:12 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
9,new alamar blue,0,1522,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,395543,248524,102398,225275,161301,92502,139467,115042,125171,172856,254966,66783,92658,96154,94997,178097,101253,109570,111095,139955,78703,91266,177176,229654,
B,92422,100634,80151,62218,69283,59099,40443,68736,117450,118592,64803,60414,80264,72841,64967,67773,66164,67165,74475,77341,80999,90000,100489,107497,
C,80639,68777,42180,36091,63569,62762,66262,66127,65881,45174,38585,87544,70391,81489,63666,78216,74707,87785,71133,71300,67304,68271,74076,131599,
D,88220,95881,75263,80422,61407,66318,62400,39592,79450,85775,74622,57919,76757,58273,80760,42222,75456,82474,77207,58974,72296,70634,75523,111507,
E,107752,71223,42113,37386,72237,70146,70846,73231,70930,43869,38215,74435,69878,83658,71306,76726,68174,77804,68822,68547,69611,70010,91665,147727,
F,121216,71413,72171,68263,79480,67764,80291,68324,46020,59567,91157,83709,78835,52588,76786,82856,91438,76735,90616,78630,86101,71042,104881,121489,
G,112178,87818,44690,37277,69117,77709,68572,81147,77850,44152,38230,72634,87825,82914,83189,82324,74342,78837,66794,75474,66450,73573,84963,136169,
H,93460,48367,78749,70975,64334,76160,65824,74809,73386,73159,78129,81333,66335,55078,71978,72101,79743,99156,78840,64321,66863,65975,49327,90249,
I,89656,78631,42987,38588,66429,71032,66866,76245,70027,46312,39246,76433,81828,81455,73052,79500,72899,76493,90748,84165,62162,75365,75244,154738,
J,54850,64364,77432,62671,57677,72826,87693,51704,71998,81463,77483,65590,78231,80688,77099,71998,83048,73253,81199,70438,64855,57279,90359,57144,
K,142900,86838,45145,38449,72179,84476,110785,86374,100991,49030,38246,93754,85541,94473,110001,112209,104879,110947,99339,92337,81986,79386,74014,118489,
L,86465,48356,118987,104468,86531,96936,81360,84816,110667,90504,52010,91892,36144,75795,103733,75360,105887,104929,94582,104109,73099,83138,48068,68931,
M,85769,65633,41825,35670,79716,73278,74961,80683,70653,47506,36771,78347,73502,74296,74935,80542,81977,79338,75620,69142,80883,78712,89046,180177,
N,98272,72629,74780,68505,66270,79877,73191,72336,78028,80507,75851,69760,60973,77662,80163,88647,88561,39055,80575,71661,75583,47127,102262,137574,
O,106518,82043,73724,72061,75648,102598,95039,91486,87101,95968,86317,87283,102031,85718,78704,100683,113356,94255,89665,89596,87596,81327,80970,104222,
P,112063,101855,85638,70469,116419,77567,96506,109513,104365,117354,121779,157518,129161,69410,102460,157547,105793,124885,107979,109580,99156,122817,253497,256482,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
10,1,,14.73,23.34,23.34,54.3,54.6,22.86,22.86,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:59:19 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
10,new alamar blue,0,1556,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,339781,322843,301167,367241,300245,330522,87263,192853,309239,245090,349314,330977,169845,242533,112766,314293,181682,355715,166365,164574,113191,151293,114352,307411,
B,170573,144945,117483,105993,83140,64845,43956,78330,83316,96832,51733,56000,76760,80639,134902,74827,99154,62825,72175,96208,86817,77845,101494,185577,
C,79137,92037,43730,38101,70794,81333,78064,78343,82120,45869,38091,95628,68807,87446,76242,75618,75219,81860,75079,70315,71663,75291,83490,198061,
D,106135,77154,87417,75569,64356,67854,74923,40989,73700,79533,85982,47555,81661,50785,98311,40914,59412,81109,75207,55434,74842,57319,100055,153490,
E,170653,79377,42999,39685,81793,94551,66030,85625,73162,54200,40205,96907,73859,90962,73469,78531,79233,86549,68530,82909,77895,81854,77930,162479,
F,160985,74885,76724,80232,90950,75776,89977,71806,50573,54473,85518,78746,96682,37096,78985,73477,83987,96325,80799,70781,72775,63363,101684,168822,
G,129061,82146,44948,41602,74066,83155,78935,84494,91578,48260,40077,72883,95967,88436,89856,94300,79103,81272,91590,81158,81259,80093,117526,144896,
H,114758,54531,74549,82379,68798,66439,58032,84152,84848,78748,106200,72748,49709,51324,74894,57527,77805,80390,71151,72595,52438,71463,62561,92892,
I,108260,80080,50518,40087,79017,90838,88190,86318,86654,50123,39877,100378,83855,88258,82425,83522,82863,90611,77154,81700,76081,79104,96275,137605,
J,52260,71737,81774,77523,66339,84278,99753,51175,60319,75687,91367,80311,78420,86067,93623,79354,91036,82282,86536,78596,59993,60018,74114,54614,
K,141366,105211,47074,40901,71923,87805,88269,84207,90949,45113,37971,84927,90642,88872,103910,112682,94608,110384,93602,87907,111335,84572,87397,173589,
L,130775,42535,80828,80245,86980,89635,77889,69983,102513,86171,52192,98481,37200,53378,94223,62633,103060,93331,77389,86203,55972,72327,49605,70049,
M,86945,91008,44197,37199,82727,96038,90563,94263,100814,46089,39167,82754,89516,85132,94946,95553,96663,81585,82465,82365,73611,97830,99899,166266,
N,169044,80107,72550,72885,74583,95935,123575,92954,105395,85038,84973,70208,70253,94705,84884,84775,73522,38384,81968,69653,73857,49167,129151,152267,
O,150083,100632,84721,98449,115632,102683,104721,112006,104752,94195,114446,98165,110348,99878,110389,122205,117828,109959,75298,81242,80303,126540,114238,179944,
P,236876,193204,115934,92909,111233,150703,141680,158576,129944,175096,156049,187167,174626,77749,179759,145212,195472,125976,144032,205889,121231,154453,173451,178770,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
11,1,,14.73,23.34,23.36,54.4,54.3,22.95,23.17,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 11:00:28 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
11,new alamar blue,0,1501,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,279425,315078,328994,153021,378215,318452,347955,367198,121108,249624,173388,168513,91244,338529,124782,175594,332621,359288,341582,344912,316740,354763,358744,349615,
B,264938,95311,101036,54465,79617,75602,37710,83627,104449,79017,57325,51147,99138,76426,76560,83829,116860,57484,165794,124313,128668,82583,128186,310052,
C,249892,171932,46378,39174,85048,80414,80487,80969,68349,41519,39640,93466,77765,84475,67700,73153,74365,94586,88511,84061,84433,117063,153478,357396,
D,199099,133334,100799,82142,59439,48212,69131,39849,78473,73820,105454,48077,80438,47920,75215,39625,46313,78334,87033,56320,77822,66789,86286,232351,
E,333897,88921,53176,38112,72748,80389,80706,82251,79380,42245,38388,95673,73842,71021,74678,84466,79047,91978,70132,77516,99584,95780,121734,262262,
F,302602,105668,113480,68858,92902,79318,86193,68243,50524,60021,95345,88662,91434,37672,87773,69916,92895,87329,89392,72774,76928,79031,193638,214436,
G,214845,192962,45623,40818,80821,106860,80013,85234,91873,39847,39158,85820,93445,98978,78591,85694,72177,92585,68821,81086,93874,85248,96393,211856,
H,115310,45813,77274,90644,78470,76366,65891,74848,80524,83144,113813,85786,50595,46602,76912,60486,80481,80618,67653,81035,64412,77875,64781,158010,
I,206544,114303,51680,42013,85581,79681,84569,100739,89773,50963,38505,82848,78777,67188,88657,80259,73802,80227,77714,98247,88551,76317,163410,207996,
J,40215,61673,82651,76176,61470,70767,95241,46974,59923,99419,92921,69119,74497,79588,123888,80873,98299,73414,108585,76779,62262,65021,72873,108680,
K,172269,130376,44536,39809,90082,89744,89217,80237,85070,53145,39533,74984,86309,91552,89085,82339,72771,86327,73933,85810,87887,97028,121263,141384,
L,74546,37935,86715,84399,95659,73263,75285,64796,80034,74310,50731,81376,36533,47775,85658,50880,86128,87621,81938,75254,64033,88571,71082,141888,
M,172229,120545,43900,39472,89280,88869,84189,83084,79589,52878,40932,93463,85560,137996,78785,72486,83865,89568,84025,83788,102480,88559,124964,210601,
N,189949,93166,84893,83155,70260,72286,74815,74115,85160,77385,103810,70155,67690,84486,72227,59521,71431,37403,75181,81337,83754,73288,116694,228344,
O,154348,164727,95323,130439,102914,79678,111055,86626,86897,100007,90197,65500,149301,151054,111891,136792,142055,137065,79238,101021,97693,88851,93702,147962,
P,153358,183516,102183,136099,189850,98639,215191,149248,117696,117857,168092,191409,206681,126611,139134,172215,244732,205719,179065,117678,115141,157496,139790,212146,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
12,1,,14.68,23.34,23.36,54.3,54.3,22.95,23.07,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 11:01:44 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
12,new alamar blue,0,1359,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),


Basic assay information 
Assay ID: ,,,,23250
Assay Started: ,,,,5/2/2022 10:46:36 AM
Assay Finished: ,,,,5/2/2022 11:02:11 AM
Assay Exported: ,,,,5/2/2022 1:49:59 PM
Protocol ID: ,,,,100177
Protocol Name: ,,,,TRF-384 Alamar blue+BS+nbw
Serial#: ,,,,="1020141"



Protocol information
Protocol:
Protocol name,,,,TRF-384 Alamar blue+BS+nbw
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Is label meas. height used,,,,Yes
Height of measurement,,,,Defined in label
Is gripper height used,,,,No
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,Jaffe 384 General
Number of rows,,,,16
Number of columns,,,,24
Number of the wells in the plate,,,,384
Height of the plate,,,,14.35 mm

Coordinates of corners:
Jaffe 384 General
12.13 mm x------------------------------------------------------ x 115.63 mm
8.99 mm                                                            8.99 mm

12.13 mm x------------------------------------------------------ x 115.63 mm
76.49 mm                                                           76.49 mm

Platemap:
Plate,,,,1
Group,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
I,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
J,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
K,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
L,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
M,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
N,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
O,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
P,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
No calculations.

Auto export parameters:
Export format,,,,Plate2
Include basic assay information,,,,Yes
Place assay information at,,,,End of file
Include basic plate information,,,,Yes
Place plate information at,,,,End of plate
Include protocol information,,,,Yes
Protocol info level,,,,Large
Include error and warning information,,,,Yes
Include background information,,,,Yes
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv

Operations:
Plate 1
  Group 1
    Measurement
      Label,,,,new alamar blue(1)

Labels:
new alamar blue,,,,4000013
Top mirror,,,,General
Bottom mirror,,,,N/A
Exc. filter,,,,Photometric 530
Using of excitation filter,,,,Top
2nd exc. filter,,,,N/A
Using of 2nd excitation filter,,,,Top
Ems. filter,,,,Photometric 590
2nd ems. filter,,,,N/A
Measurement height,,,,6.5 mm
Number of flashes,,,,1
Number of flashes integrated,,,,1
PMT gain,,,,1
Excitation light,,,,0%
Reference excitation light,,,,100%
Emission light,,,,100%
Reference AD gain,,,,2
Reference signal,,,,256388
Last edited,,,,10/13/2006 11:04:00 AM
Last edited by,,,,EnVision
Factory preset,,,,No

Filters:
Photometric 530,,,,310
Filter type,,,,Excitation
Description,,,,P530 CWL=530nm BW=8nm Tmin=55%
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,8/19/2014 4:24:21 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Photometric 590,,,,314
Filter type,,,,Excitation
Description,,,,P590 CWL=590nm BW=8nm Tmin=40%
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved FluorescenceAbsorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,8/19/2014 4:24:21 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Mirror modules:
General,,,,401
Used by,,,,Top
Dual,,,,No
Bias,,,,No
Description,,,,BS50
Used with,,,,Luminescence DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,8/19/2014 4:24:21 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Instrument:
Serial number,,,,1020141
Nickname,,,,EnVision




Assay notifications:
INFO: Assay aborted at plate 12  plate repeat 1 and well P01. There may be missing results



Exported with EnVision Workstation version 1.13.3009.1409
