Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
9,1,,14.73,23.83,23.83,53.7,53.3,23.54,23.64,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:13:57 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
9,new alamar blue,0,1420,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,565350,549986,509763,510493,561472,526397,493053,539200,525521,550034,520821,378653,515152,469686,497988,546808,559859,506476,556510,546922,432135,539725,553503,558721,
B,495150,461581,351065,221441,242576,181282,67931,211197,478811,435570,205838,210177,292344,273996,204416,258398,239808,221555,278278,302131,383271,416400,513491,528830,
C,385936,236549,110318,50602,207819,184636,218631,190222,175213,83144,51217,299142,215385,207307,189130,242836,214905,223640,210085,214157,217747,208118,246608,582853,
D,390114,342110,219089,213276,156143,174757,170184,57477,223370,227152,196962,151742,213873,138619,218184,65733,209612,224473,203970,150191,187769,204743,214362,519244,
E,506515,235186,83442,48514,219558,181746,179970,204036,192828,81835,51840,201723,194223,213496,184957,187868,178915,198807,188001,190202,207832,208694,324744,534207,
F,517093,232695,189494,177986,207085,168660,203640,174316,87145,137142,241262,191651,205968,97053,191515,187003,221614,196755,222333,187620,236304,206198,338029,530015,
G,485071,297546,97820,51898,178602,193654,178237,211980,199842,87211,51531,190698,221799,215910,215816,212598,190044,194455,171910,201557,166717,214352,250294,419901,
H,403913,104011,205604,168308,160580,189421,161384,191614,182230,187993,192918,188319,163406,120821,181852,179569,202687,245043,193174,164013,180330,181053,108457,345825,
I,324365,269957,85600,54945,163234,181657,167625,193302,174176,96693,53733,204528,211384,202018,188772,197643,185093,196886,218965,223058,164003,188113,195564,539461,
J,169686,184500,198171,152462,138210,166765,208344,103403,178731,194273,203277,160122,185748,197528,191291,178598,211181,184402,190189,168435,163945,135414,212141,149530,
K,483644,255162,87717,50692,176511,215470,233564,197194,212530,91518,51494,209622,206257,210240,225399,226248,244429,257545,221764,222173,210684,213130,208615,400215,
L,314050,92185,290999,223175,222238,220211,191838,187944,245368,200250,93946,203608,37485,156228,236421,156730,235355,233863,214556,247607,163682,234617,99124,211717,
M,320245,196182,93254,49076,197467,188265,193010,201975,172838,92272,49691,201869,188362,187674,192439,201957,208020,204146,194460,180414,243312,210284,209620,435078,
N,389144,225211,212570,182078,174470,210999,195934,192822,202949,192013,188953,169925,141563,191138,206639,216523,213162,47489,215988,195417,214178,86859,235354,513111,
O,435352,271896,223081,200631,209008,327797,302061,291753,228423,275937,247934,235356,313594,234593,227903,295684,326676,273879,252848,262078,292560,253827,265924,309645,
P,425174,416507,336796,264634,413240,321227,363317,412455,362183,478673,413146,477204,417135,258131,383715,521588,360835,436325,399672,432623,391748,492760,502869,488730,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
10,1,,14.68,23.83,23.83,53.5,53.2,23.64,23.54,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:15:02 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
10,new alamar blue,0,1395,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,608960,593852,584886,608508,533844,577945,470525,583931,556470,563103,598351,586500,512647,573582,512428,587603,542873,620156,564859,560628,566229,568687,513654,542629,
B,472389,519987,546926,478006,350302,249510,110747,312476,387667,477698,154950,201077,367154,320264,356455,302905,492073,191504,291670,446689,378405,366870,491201,512722,
C,398669,555750,128469,55219,251481,382027,268824,224949,250459,100956,49472,284070,166303,248911,226781,213310,224604,250247,220311,188395,215817,245062,278485,532298,
D,525094,273804,314009,226653,163887,215068,221065,61711,194679,205736,218738,89993,201095,93833,241582,59574,142367,227883,211321,138235,288865,153892,386803,566908,
E,586761,294128,108518,68340,217757,397788,171723,212075,183004,127352,53439,239378,172946,228698,186075,207274,200950,214451,176916,221889,216990,264932,235396,560688,
F,558813,305180,214915,223707,239755,186971,210686,182031,95330,125204,202680,193492,223680,39076,198121,168649,220291,240588,213726,168240,187954,163135,341025,499440,
G,541086,276744,91467,62872,181316,193642,186657,200381,217445,99312,56383,187413,228342,213796,213615,221985,203801,205840,229953,196906,194281,195507,316771,539693,
H,349682,130651,185377,200717,160201,150681,125306,196822,195482,177998,230452,177232,84197,100584,182009,126113,194178,192818,173027,166926,118541,175595,161170,279613,
I,438469,261815,129086,56841,189715,213521,208405,205584,202020,108832,56247,230027,195112,202621,196174,200643,200105,216547,187131,193387,183005,200203,232855,392090,
J,147028,208558,221057,179632,147956,182653,216714,92895,128333,163941,211109,169909,178019,187319,225118,181730,201263,187170,200248,178146,125956,138948,169065,116599,
K,509225,417486,109960,58892,172800,222040,211153,210194,241858,87236,51820,204450,213225,224135,243062,239875,235457,254928,211945,210459,300199,221722,265841,555158,
L,379038,69372,210881,207869,218667,200047,181325,160765,228404,200109,90381,218156,38771,95806,218436,118572,261897,218951,195449,218386,128908,183331,98114,216051,
M,284233,251777,91113,50046,186348,223630,204710,212498,223466,85039,52181,200256,219743,207994,225787,235695,228527,205548,198700,193372,181908,219682,242038,457828,
N,521609,233651,186155,176325,173952,210180,268890,210763,225080,192575,199750,166203,156830,227029,215317,204327,184389,40578,192256,173340,188194,81348,316473,469591,
O,481811,307477,236642,265133,338941,301096,286169,283244,278963,252509,302712,255945,316734,277895,325388,350721,331289,294611,198889,224737,219055,316378,312980,448791,
P,505216,530873,369409,323928,365120,369580,391639,438710,400321,462510,431918,498925,458937,262235,484720,444781,552529,440066,438090,532094,413868,476838,489062,482936,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
11,1,,14.68,23.93,23.93,53.5,53.3,23.64,23.64,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:16:13 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
11,new alamar blue,0,1446,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,553472,582851,601179,565339,594991,589533,593799,591070,502116,602174,568789,534423,474767,583675,530727,601110,600831,631594,566709,619276,539563,621047,615388,609119,
B,493819,414343,384610,175004,319672,332252,46978,359590,469984,306768,180007,160554,481601,310933,292928,373220,480076,178519,474883,554801,535963,363946,501536,565694,
C,525858,578260,116041,60933,316925,279080,282958,263934,192209,67608,58885,302897,235422,248929,183866,200751,222364,321139,321834,285603,272141,364332,501476,652394,
D,531951,491932,288019,205298,136706,97538,179682,52861,205188,201193,286616,89422,188691,90614,194602,50486,91795,261855,246046,143546,218617,193696,286947,575082,
E,626681,341638,125077,54332,179175,190597,185545,219253,194444,60729,47970,236781,172324,189204,202027,235760,196372,213384,173227,190112,257704,270260,495572,615924,
F,565085,313075,293593,166884,204123,189693,210116,154330,87698,128965,225877,200210,211277,39750,206921,158349,241182,204770,242566,176377,194503,223739,572556,578904,
G,606221,535720,100345,57782,188137,230681,188023,189947,195164,56085,52566,193896,213348,224579,187804,201302,164800,218355,166874,201255,233335,237914,268427,543463,
H,244929,87561,194713,213573,170585,175820,140798,167336,181962,191349,255100,195309,83506,74530,169869,123323,181052,186931,161898,186913,137833,213520,174903,368383,
I,604614,462819,132618,62986,210910,166164,196230,215515,187316,105712,52955,216563,178887,180986,198303,190386,166928,205170,186039,228669,206930,188961,457081,515078,
J,48860,162860,221922,175313,134346,163976,217082,84763,132564,210379,212326,166375,177083,179903,259109,178190,217117,170251,239269,183573,131003,148533,192680,241157,
K,508364,437271,94545,55764,228366,224616,225472,187615,197619,102670,53678,184180,223762,212521,205578,197328,170976,207131,177890,228000,228343,275774,400954,476116,
L,178961,42193,240675,219705,226574,176403,174095,153189,189233,178672,93847,201055,37731,85463,206600,99861,203226,208219,194479,186522,149411,262617,217407,357439,
M,500908,308307,90211,55450,220561,227752,204415,184188,184685,104077,55555,207003,204119,276005,183643,171902,206194,207206,194423,193202,233006,221325,349108,529404,
N,516531,247836,204246,195036,161864,193105,174974,182125,207885,192657,248093,175392,155350,209540,164632,135705,179722,39880,178255,205269,200035,189291,362485,540322,
O,461498,447941,308810,359487,323968,219260,317701,247479,253017,308583,280112,191359,415403,408591,307122,465088,343194,359467,204595,272225,282796,270544,281184,441518,
P,440101,462885,360311,397689,446259,332393,484112,442644,430682,424656,436704,425836,458681,299872,409266,475471,474202,472819,444908,341969,368727,492739,427088,486929,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
12,1,,14.68,23.93,23.93,53.5,53.2,23.64,23.64,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:17:21 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
12,new alamar blue,0,1469,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),


Basic assay information 
Assay ID: ,,,,23253
Assay Started: ,,,,5/2/2022 12:03:09 PM
Assay Finished: ,,,,5/2/2022 12:17:36 PM
Assay Exported: ,,,,5/2/2022 1:52:38 PM
Protocol ID: ,,,,100177
Protocol Name: ,,,,TRF-384 Alamar blue+BS+nbw
Serial#: ,,,,="1020141"



Protocol information
Protocol:
Protocol name,,,,TRF-384 Alamar blue+BS+nbw
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Is label meas. height used,,,,Yes
Height of measurement,,,,Defined in label
Is gripper height used,,,,No
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,Jaffe 384 General
Number of rows,,,,16
Number of columns,,,,24
Number of the wells in the plate,,,,384
Height of the plate,,,,14.35 mm

Coordinates of corners:
Jaffe 384 General
12.13 mm x------------------------------------------------------ x 115.63 mm
8.99 mm                                                            8.99 mm

12.13 mm x------------------------------------------------------ x 115.63 mm
76.49 mm                                                           76.49 mm

Platemap:
Plate,,,,1
Group,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
I,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
J,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
K,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
L,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
M,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
N,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
O,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
P,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
No calculations.

Auto export parameters:
Export format,,,,Plate2
Include basic assay information,,,,Yes
Place assay information at,,,,End of file
Include basic plate information,,,,Yes
Place plate information at,,,,End of plate
Include protocol information,,,,Yes
Protocol info level,,,,Large
Include error and warning information,,,,Yes
Include background information,,,,Yes
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv

Operations:
Plate 1
  Group 1
    Measurement
      Label,,,,new alamar blue(1)

Labels:
new alamar blue,,,,4000013
Top mirror,,,,General
Bottom mirror,,,,N/A
Exc. filter,,,,Photometric 530
Using of excitation filter,,,,Top
2nd exc. filter,,,,N/A
Using of 2nd excitation filter,,,,Top
Ems. filter,,,,Photometric 590
2nd ems. filter,,,,N/A
Measurement height,,,,6.5 mm
Number of flashes,,,,1
Number of flashes integrated,,,,1
PMT gain,,,,1
Excitation light,,,,0%
Reference excitation light,,,,100%
Emission light,,,,100%
Reference AD gain,,,,2
Reference signal,,,,256388
Last edited,,,,10/13/2006 11:04:00 AM
Last edited by,,,,EnVision
Factory preset,,,,No

Filters:
Photometric 530,,,,310
Filter type,,,,Excitation
Description,,,,P530 CWL=530nm BW=8nm Tmin=55%
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,8/19/2014 4:24:21 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Photometric 590,,,,314
Filter type,,,,Excitation
Description,,,,P590 CWL=590nm BW=8nm Tmin=40%
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved FluorescenceAbsorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,8/19/2014 4:24:21 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Mirror modules:
General,,,,401
Used by,,,,Top
Dual,,,,No
Bias,,,,No
Description,,,,BS50
Used with,,,,Luminescence DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,8/19/2014 4:24:21 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Instrument:
Serial number,,,,1020141
Nickname,,,,EnVision




Assay notifications:
INFO: Assay aborted at plate 12  plate repeat 1 and well P01. There may be missing results

Notifications for plate 1  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: A01 A03 A04 A05 A06 A07 A08 A09 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 B24 B23 B22 B21 B20 B19 B16 B14 B13 B05 B04 B01 C01 C24 D24 D10 E24 F24 F01 G01 G24 I01 I24 K01 K24 L24 M24 N24 N01 O15 O16 O17 O20 O21 O22 O24 P24 P22 P21 P20 P19 P18 P17 P16 P15 P12 P11 P10 P09 P07 P06 P05 P04 P02 P01

Notifications for plate 2  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: A02 A03 A04 A05 A06 A07 A08 A09 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 B24 B23 B21 B20 B18 B17 B15 B14 B13 B12 B10 B08 B05 B04 B03 B02 B01 C01 C06 C09 C15 C23 C24 D24 D12 D09 D01 E01 E06 E17 E24 F24 F23 F02 G01 G02 G24 H03 I01 I02 I24 J03 K01 K21 K24 L24 M01 M02 M14 M16 M23 M24 N24 N23 N01 O02 O03 O06 O07 O09 O11 O13 O14 O15 O16 O17 O18 O19 O21 O22 O23 O24 P24 P23 P22 P21 P20 P19 P18 P17 P16 P15 P14 P13 P12 P11 P10 P09 P08 P07 P06 P05 P04 P03 P02 P01

Notifications for plate 3  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: A01 A02 A03 A04 A05 A06 A07 A08 A09 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 B24 B23 B22 B21 B20 B14 B13 B10 B08 B06 B05 B04 B02 B01 C01 C02 C14 C23 C24 D24 D23 D01 E01 E02 E05 E18 E22 E23 E24 F24 F23 F22 F01 G01 G23 G24 H24 H01 I01 I24 K01 K20 K22 K23 K24 L24 L18 L01 M01 M23 M24 N24 N23 N01 O01 O05 O08 O09 O10 O11 O12 O13 O14 O15 O16 O17 O18 O20 O23 O24 P24 P23 P22 P21 P20 P19 P18 P17 P16 P15 P14 P13 P12 P11 P10 P09 P07 P06 P05 P04 P03 P02 P01

Notifications for plate 4  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: A01 A02 A03 A04 A05 A06 A07 A08 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 B24 B23 B20 B17 B13 B03 C01 C24 D24 E01 E24 F24 G24 I01 I24 K01 K23 K24 M01 M24 N24 N01 O01 O14 O17 O18 O22 O23 O24 P24 P23 P22 P21 P20 P19 P18 P17 P16 P15 P14 P13 P12 P11 P10 P09 P08 P07 P06 P05 P02 P01

Notifications for plate 5  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: A01 A02 A03 A04 A05 A06 A07 A08 A09 A10 A11 A12 A13 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 B24 B23 B21 B20 B19 B17 B14 B13 B03 B01 C01 C24 D24 E01 E23 E24 F24 F23 G01 G24 I01 I24 K01 K24 L24 M01 M24 N24 N23 O01 O16 P24 P23 P22 P21 P20 P19 P18 P16 P15 P14 P13 P11 P10 P07 P06 P05 P04 P03 P02 P01

Notifications for plate 6  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: A01 A02 A03 A04 A05 A06 A07 A08 A09 A10 A11 A12 A13 A14 A15 A16 A17 A19 A20 A21 A22 A23 A24 B24 B21 B14 B03 C01 C02 C23 C24 D24 D23 D01 E01 E02 E24 F24 F01 G01 G24 I01 I24 K01 M01 N24 N01 P24 P23 P22 P21 P19 P17 P15 P12 P11 P07 P01

Notifications for plate 7  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: C24 O01

Notifications for plate 8  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: A17 A22

Notifications for plate 9  repeat 1:
WARNING: Some of the results may be invalid due to saturation of electronics. To fix the problem try to limit the excitation light or decrease the detector gain using the label editor.
In a case of label using Fluorescence Monochromator you can also try to use less flashes  lower excitation wavelength or higher emission wavelength.

WARNING: Measured signal is saturated in the following wells: A13 A16 A18 A24



Exported with EnVision Workstation version 1.13.3009.1409
